"","area_name","date","week","signal"
"679","London","2021-07-28",9,97725
"680","London","2021-07-29",10,NA
"681","London","2021-07-30",10,NA
"682","London","2021-07-31",10,NA
"683","London","2021-08-01",10,NA
"684","London","2021-08-02",10,NA
"685","London","2021-08-03",10,NA
"686","London","2021-08-04",10,69584
"687","London","2021-08-05",11,NA
"688","London","2021-08-06",11,NA
"689","London","2021-08-07",11,NA
"690","London","2021-08-08",11,NA
"691","London","2021-08-09",11,NA
"692","London","2021-08-10",11,NA
"693","London","2021-08-11",11,42266
"694","London","2021-08-12",12,NA
"695","London","2021-08-13",12,NA
"696","London","2021-08-14",12,NA
"697","London","2021-08-15",12,NA
"698","London","2021-08-16",12,NA
"699","London","2021-08-17",12,NA
"700","London","2021-08-18",12,77648
"701","London","2021-08-19",13,NA
"702","London","2021-08-20",13,NA
"703","London","2021-08-21",13,NA
"704","London","2021-08-22",13,NA
"705","London","2021-08-23",13,NA
"706","London","2021-08-24",13,NA
"707","London","2021-08-25",13,83487
"708","London","2021-08-26",14,NA
"709","London","2021-08-27",14,NA
